,i_i_glide_lignum,i_global_index,r_i_docking_score,s_smiles,s_neutral_smiles,r_moleculeone_score
246649,651,246,-10.0534,O=C([C@@H]1Cc2ccccc2O1)N1CCc2[nH]c3ccccc3c2C1,O=C([C@@H]1Cc2ccccc2O1)N1CCc2[nH]c3ccccc3c2C1,3.62356352806091
130486,487,130,-9.91178,Cc1ccc(NC(=O)[C@H]2C(=S)[NH+]=C(N)[C@@H](C#N)[C@@H]2c2ccccc2)cc1,Cc1ccc(NC(=O)[C@H]2C(=S)N=C(N)[C@@H](C#N)[C@@H]2c2ccccc2)cc1,10.0
130193,194,130,-9.84149,O=C([C@H]1CCS(=O)(=O)C1)N1CC=C(c2c[nH]c3ccccc23)CC1,O=C([C@H]1CCS(=O)(=O)C1)N1CC=C(c2c[nH]c3ccccc23)CC1,3.60940265655518
52840,841,52,-9.673919999999999,C[C@H](NC(=O)c1cc2c(s1)-c1ccccc1OC2)c1ccc(-n2ccnc2)cc1,C[C@H](NC(=O)c1cc2c(s1)-c1ccccc1OC2)c1ccc(-n2ccnc2)cc1,3.25183534622192
178962,964,178,-9.61514,O=C(c1cnc2ccc3ccccc3c2c1)c1ccccc1O,O=C(c1cnc2ccc3ccccc3c2c1)c1ccccc1O,10.0
165983,985,165,-9.60929,Fc1cccc(NCc2cn(-c3ccccc3)nc2-c2ccncc2)n1,Fc1cccc(NCc2cn(-c3ccccc3)nc2-c2ccncc2)n1,3.29069137573242
50255,256,50,-9.58512,C[C@H](C(=O)Nc1ccc(-c2cn3ccsc3n2)cc1)c1ccsc1,C[C@H](C(=O)Nc1ccc(-c2cn3ccsc3n2)cc1)c1ccsc1,3.87993621826172
92187,188,92,-9.50672,CC[C@@H](C(=O)NCCn1nc(-c2ccccn2)n(C)c1=O)c1ccccc1,CC[C@@H](C(=O)NCCn1nc(-c2ccccn2)n(C)c1=O)c1ccccc1,2.13472509384155
184608,610,184,-9.49893,CCc1ccccc1NC(=O)CNC(=O)/C=C/c1ccc2ccccc2n1,CCc1ccccc1NC(=O)CNC(=O)/C=C/c1ccc2ccccc2n1,2.94818758964539
16543,544,16,-9.4847,FC(F)COc1cc(CN[C@H]2CCc3[nH]c4ccccc4c3C2)ccn1,FC(F)COc1cc(CN[C@H]2CCc3[nH]c4ccccc4c3C2)ccn1,3.1460325717926
39324,325,39,-9.47638,N[C@H]1Oc2c(ccc3ccccc23)C(=O)[C@@H]1C1[NH+]=c2ccccc2=[NH+]1,N[C@H]1Oc2c(ccc3ccccc23)C(=O)[C@@H]1C1N=c2ccccc2=N1,10.0
110204,205,110,-9.472760000000001,[NH3+][C@@H]1CCN(c2ncccc2-c2nc(-c3ccccn3)no2)C1,N[C@@H]1CCN(c2ncccc2-c2nc(-c3ccccn3)no2)C1,3.08396005630493
148609,610,148,-9.416160000000001,O=C(/C=C/c1ccc2ccc(Cl)cc2n1)N[C@H]1CCOc2ccccc21,O=C(/C=C/c1ccc2ccc(Cl)cc2n1)N[C@H]1CCOc2ccccc21,2.93183612823486
91264,265,91,-9.398439999999999,Cc1cccc(NC(=O)CSc2nnc(N/N=C/c3c[nH]c4ccccc34)n2N)c1,Cc1cccc(NC(=O)CSc2nnc(N/N=C/c3c[nH]c4ccccc34)n2N)c1,2.93070983886719
61278,279,61,-9.382710000000001,C[C@@H](CNc1ccccc1)NC(=O)c1ccc2c(c1)CCC(=O)N2C,C[C@@H](CNc1ccccc1)NC(=O)c1ccc2c(c1)CCC(=O)N2C,3.49273347854614
19462,463,19,-9.37842,[NH3+][C@@H]1CCCN(c2nccn3nc(-c4cccc(Cl)c4)cc23)C1,N[C@@H]1CCCN(c2nccn3nc(-c4cccc(Cl)c4)cc23)C1,3.97943782806396
212991,993,212,-9.36496,COc1ccc2c(c1)CCC1=C2N=N[C@@H]1C(=O)N1CC[NH+](C)CC1,COc1ccc2c(c1)CCC1=C2N=N[C@@H]1C(=O)N1CCN(C)CC1,10.0
