,i_i_glide_lignum,i_global_index,r_i_docking_score,s_smiles,s_neutral_smiles,r_moleculeone_score
247177,179,247,-10.6816,O=C(Nc1ccc(F)cc1)N1CCC[C@@H](c2nc(-c3ccc(F)cc3)no2)C1,O=C(Nc1ccc(F)cc1)N1CCC[C@@H](c2nc(-c3ccc(F)cc3)no2)C1,3.40486693382263
201108,110,201,-10.4243,C/C(O)=N/c1nc(SCc2ccc3ccccc3c2)n[nH]1,C/C(O)=N/c1nc(SCc2ccc3ccccc3c2)n[nH]1,10.0
195870,872,195,-10.2739,N/N=C1\C[C@@H](c2ccccc2)Oc2ccccc21,N/N=C1\C[C@@H](c2ccccc2)Oc2ccccc21,2.90201759338379
18592,593,18,-10.2337,COc1cc(OC)cc(C(=O)Nc2ccc([C@@H]3C=c4cc(Cl)ccc4=[NH+]3)cc2)c1,COc1cc(OC)cc(C(=O)Nc2ccc([C@@H]3C=c4cc(Cl)ccc4=N3)cc2)c1,10.0
36275,276,36,-10.1865,O=C(Nc1ccccc1)N1CCC[C@@H](c2nc3ccccc3o2)C1,O=C(Nc1ccccc1)N1CCC[C@@H](c2nc3ccccc3o2)C1,2.91577434539795
38611,612,38,-10.1845,c1nc(Oc2ccc3c(c2)OCO3)c2sccc2n1,c1nc(Oc2ccc3c(c2)OCO3)c2sccc2n1,2.01252865791321
156449,450,156,-10.1265,O=C(C[C@@H]1C(=O)N=C2Nc3ccccc3N21)Nc1ccccc1Cl,O=C(C[C@@H]1C(=O)N=C2Nc3ccccc3N21)Nc1ccccc1Cl,10.0
161985,987,161,-10.0351,Cc1ccc(Oc2ncnc3sc(C)cc23)cc1,Cc1ccc(Oc2ncnc3sc(C)cc23)cc1,2.2454628944397
174951,953,174,-9.99592,CCCCCCn1cnc2cc(C)c(C)cc21,CCCCCCn1cnc2cc(C)c(C)cc21,2.01390385627747
15336,337,15,-9.9861,O=C1O[C@H]([C@H]2CCc3ccccc3C2=O)c2ccccc21,O=C1O[C@H]([C@H]2CCc3ccccc3C2=O)c2ccccc21,2.90945672988892
