,i_i_glide_lignum,i_global_index,r_i_docking_score,s_smiles,s_neutral_smiles,r_moleculeone_score
99686,687,99,-6.99325,C[C@@]12CC3CC(N4CC[C@H]([NH3+])C4=O)(C1)C[C@](C)(C3)C2,C[C@@]12CC3CC(N4CC[C@@H](N)C4=O)(C1)C[C@](C)(C3)C2,10.0
2136,137,2,-6.902310000000001,CC1CCN(c2ccc([C@@H](C)[NH3+])cc2F)CC1,CC1CCN(c2ccc([C@@H](C)N)cc2F)CC1,2.89327812194824
28926,927,28,-6.8808300000000004,NC(=O)c1cc2cc(Cl)ccc2oc1=[NH2+],N=c1oc2ccc(Cl)cc2cc1C(N)=O,5.97638177871704
49091,92,49,-6.87125,C[C@@H]1CN(c2ccc(C[NH3+])cc2)C[C@H]1C,C[C@@H]1CN(c2ccc(CN)cc2)C[C@H]1C,3.80350160598755
103140,141,103,-6.857819999999999,CCOc1ccc(-c2nc(-c3ccc4c(c3)=[NH+]C(=O)[NH+]=4)cs2)cc1,CCOc1ccc(-c2nc(-c3ccc4c(c3)=NC(=O)N=4)cs2)cc1,10.0
192630,632,192,-6.850630000000001,CCc1ccccc1Oc1ccc([C@H](C)[NH3+])cc1F,CCc1ccccc1Oc1ccc([C@H](C)N)cc1F,2.88887977600098
73,74,0,-6.82198,C[C@H]([NH3+])c1nc2cc(C(F)(F)F)ccc2n1C,C[C@@H](N)c1nc2cc(C(F)(F)F)ccc2n1C,2.86758327484131
158316,317,158,-6.80397,Fc1ccc2nc(C(F)(F)F)cc(Br)c2c1,Fc1ccc2nc(C(F)(F)F)cc(Br)c2c1,2.14623165130615
24606,607,24,-6.79656,CCN(CC1CC1)c1cc2c(cc1Cl)[C@@H]([NH2+]C)C(=O)N2,CCN(CC1CC1)c1cc2c(cc1Cl)[C@H](NC)C(=O)N2,4.24423599243164
194738,740,194,-6.7667,O=C1[NH+]=c2ccc(C(=O)NCc3cccc(Cl)c3)cc2=[NH+]C1=O,O=C1N=c2ccc(C(=O)NCc3cccc(Cl)c3)cc2=NC1=O,4.14767742156982
205247,249,205,-6.758489999999999,NC(=O)C[C@@H](C[NH3+])N1CCc2ccccc2CC1,NC[C@H](CC(N)=O)N1CCc2ccccc2CC1,3.68719720840454
27687,688,27,-6.74719,[NH3+]Cc1ccc(Cn2cnc3ccccc32)cc1,NCc1ccc(Cn2cnc3ccccc32)cc1,2.67456150054932
